idx,question,context_len,answer_len,refs,issues,is_duplicate
66,How does access to care affect breast cancer outcomes?,443,211,9789240065987-eng.txt;SmartHospitalsToolkit.pdf,missing_files:SmartHospitalsToolkit.pdf,False
67,What does the document say about breast cancer screening?,348,111,breast.txt,,False
68,What does the document say about risk factors for breast cancer?,663,441,8577.00.txt,,False
69,How are breast cancers commonly treated?,520,82,2022-2024-breast-cancer-fact-figures-acs.txt,,False
70,How are breast cancers commonly treated?,652,341,breast_enhanced.txt,,False
71,What does the document say about risk factors for breast cancer?,341,238,breast_blocks.txt,,False
72,What does the document say about risk factors for breast cancer?,345,138,8577.00.txt,,False
73,Does finding breast cancer earlier change survival?,294,73,9789240065987-eng.txt,,False
74,What does the document say about risk factors for breast cancer?,391,250,breast_blocks.txt,,False
75,Does finding breast cancer earlier change survival?,613,511,s41572-019-0111-2.txt,,False
76,What are the signs of breast cancer I should watch for?,759,91,2022-2024-breast-cancer-fact-figures-acs.txt,,False
77,Does finding breast cancer earlier change survival?,404,265,breast_enhanced.txt,,False
78,What does the document say about risk factors for breast cancer?,514,391,breast_enhanced.txt,,False
79,How are breast cancers commonly treated?,351,218,breast-invasive-patient.txt,,False
80,What are the signs of breast cancer I should watch for?,932,482,breast_blocks.txt,,False
81,Does finding breast cancer earlier change survival?,568,158,9789240065987-eng.txt,,False
82,Does finding breast cancer earlier change survival?,266,137,8577.00.txt,,False
83,What does the document say about breast cancer screening?,567,206,9789240065987-eng.txt,,False
84,Does finding breast cancer earlier change survival?,688,183,9789240065987-eng.txt,,False
85,What does the document say about breast cancer screening?,616,243,8577.00.txt,,False
86,Does finding breast cancer earlier change survival?,257,122,9789240065987-eng.txt,,False
87,What are the signs of breast cancer I should watch for?,592,300,2022-2024-breast-cancer-fact-figures-acs.txt,,False
88,Does finding breast cancer earlier change survival?,386,140,8577.00.txt,,False
89,What does the document say about breast cancer screening?,807,272,breast.txt,,False
90,What does the document say about risk factors for breast cancer?,896,231,s41572-019-0111-2.txt,,False
91,How are breast cancers commonly treated?,568,360,breast_enhanced.txt,,False
92,How are breast cancers commonly treated?,444,312,breast-invasive-patient.txt,,False
93,How are breast cancers commonly treated?,2131,236,breast_blocks.txt,,False
94,Does finding breast cancer earlier change survival?,247,92,9789240065987-eng.txt,,False
95,How are breast cancers commonly treated?,736,582,breast.txt,,False
96,What are the signs of breast cancer I should watch for?,338,195,breast_enhanced.txt,,False
97,Does finding breast cancer earlier change survival?,285,105,9789240065987-eng.txt,,False
98,Does finding breast cancer earlier change survival?,280,165,2022-2024-breast-cancer-fact-figures-acs.txt,,False
99,What does the document say about breast cancer screening?,461,392,breast_blocks.txt,,False
